prediction_time,image_time,forecast_end,prediction_label,probability,image_path,pred_binary,gt_label,matched_goes
2026-03-25T20:51:29.131017,2/18/2026 0:00,2/18/2026 12:00,No Flare,0.889207363,data\hmi_jpg\2026\02\18\HMI.m2026.02.18_00.00.00.jpg,0,1,"B5.6, B6.8, C1.4"
2026-03-25T20:51:29.247605,2/18/2026 1:00,2/18/2026 13:00,No Flare,0.899113476,data\hmi_jpg\2026\02\18\HMI.m2026.02.18_01.00.00.jpg,0,1,"B5.6, B6.8, C1.4"
2026-03-25T20:51:29.358960,2/18/2026 2:00,2/18/2026 14:00,No Flare,0.885820806,data\hmi_jpg\2026\02\18\HMI.m2026.02.18_02.00.00.jpg,0,1,"B5.6, B6.8, C1.4, B5.8"
2026-03-25T20:51:29.444605,2/18/2026 3:00,2/18/2026 15:00,No Flare,0.857839286,data\hmi_jpg\2026\02\18\HMI.m2026.02.18_03.00.00.jpg,0,1,"B5.6, B6.8, C1.4, B5.8"
2026-03-25T20:51:29.537223,2/18/2026 4:00,2/18/2026 16:00,No Flare,0.825886548,data\hmi_jpg\2026\02\18\HMI.m2026.02.18_04.00.00.jpg,0,1,"B6.8, C1.4, B5.8"
2026-03-25T20:51:29.629038,2/18/2026 5:00,2/18/2026 17:00,No Flare,0.84512198,data\hmi_jpg\2026\02\18\HMI.m2026.02.18_05.00.00.jpg,0,1,B5.8
2026-03-25T20:51:29.714817,2/18/2026 6:00,2/18/2026 18:00,No Flare,0.8497352,data\hmi_jpg\2026\02\18\HMI.m2026.02.18_06.00.00.jpg,0,1,B5.8
2026-03-25T20:51:29.802694,2/18/2026 7:00,2/18/2026 19:00,No Flare,0.775464833,data\hmi_jpg\2026\02\18\HMI.m2026.02.18_07.00.00.jpg,0,1,B5.8
2026-03-25T20:51:29.888322,2/18/2026 8:00,2/18/2026 20:00,No Flare,0.824717045,data\hmi_jpg\2026\02\18\HMI.m2026.02.18_08.00.00.jpg,0,1,"B5.8, B9.2"
2026-03-25T20:51:29.975160,2/18/2026 9:00,2/18/2026 21:00,No Flare,0.823503911,data\hmi_jpg\2026\02\18\HMI.m2026.02.18_09.00.00.jpg,0,1,"B5.8, B9.2, C2.2"
2026-03-25T20:51:30.042778,2/18/2026 10:00,2/18/2026 22:00,No Flare,0.830635607,data\hmi_jpg\2026\02\18\HMI.m2026.02.18_10.00.00.jpg,0,1,"B5.8, B9.2, C2.2"
