Start,GOES Class,Class_Type
2026-02-07 07:42:00,C2.0,C
2026-02-07 08:09:00,C7.3,C
2026-02-07 13:55:00,C1.9,C
2026-02-07 16:34:00,C3.2,C
2026-02-07 17:11:00,C3.2,C
2026-02-07 18:27:00,C2.9,C
2026-02-07 20:58:00,C3.3,C
2026-02-07 23:29:00,C5.7,C
2026-02-08 04:21:00,C3.0,C
2026-02-08 04:50:00,C4.8,C
2026-02-08 05:46:00,C5.3,C
2026-02-08 07:32:00,C6.1,C
2026-02-08 10:45:00,C3.5,C
2026-02-08 11:13:00,M1.8,M
2026-02-08 11:30:00,C6.3,C
2026-02-08 11:32:00,M1.7,M
2026-02-08 13:46:00,M2.7,M
2026-02-08 15:16:00,C5.6,C
2026-02-08 15:44:00,C4.4,C
2026-02-08 16:58:00,C3.2,C
2026-02-08 17:12:00,C8.7,C
2026-02-08 23:32:00,C7.4,C
2026-02-09 00:09:00,C7.5,C
2026-02-09 01:41:00,C2.9,C
2026-02-09 01:51:00,C4.2,C
2026-02-09 02:14:00,M2.8,M
2026-02-09 05:12:00,C3.0,C
2026-02-09 06:44:00,C3.8,C
2026-02-09 08:06:00,C8.2,C
2026-02-09 08:32:00,C6.7,C
2026-02-09 11:30:00,C3.1,C
2026-02-09 13:34:00,C4.0,C
2026-02-09 15:11:00,C2.7,C
2026-02-09 18:01:00,C3.0,C
2026-02-09 22:53:00,C9.2,C
2026-02-09 23:47:00,C2.7,C
2026-02-10 00:17:00,C2.6,C
2026-02-10 00:43:00,C2.6,C
2026-02-10 03:45:00,C1.6,C
2026-02-10 04:34:00,C1.2,C
2026-02-10 05:07:00,C1.4,C
2026-02-10 05:29:00,C2.3,C
2026-02-10 06:06:00,C3.6,C
2026-02-10 06:54:00,C3.9,C
2026-02-10 07:48:00,C3.2,C
2026-02-10 10:38:00,C2.0,C
2026-02-10 12:57:00,C2.5,C
2026-02-10 13:47:00,C1.4,C
2026-02-10 15:47:00,C1.5,C
2026-02-10 17:01:00,C1.6,C
2026-02-10 18:27:00,C3.2,C
2026-02-10 23:56:00,M1.2,M
2026-02-11 00:29:00,M1.1,M
2026-02-11 00:50:00,M1.4,M
2026-02-11 02:53:00,C2.7,C
2026-02-11 03:31:00,C1.9,C
2026-02-11 03:31:00,C2.0,C
2026-02-11 05:19:00,C2.0,C
2026-02-11 07:19:00,C2.4,C
2026-02-11 10:08:00,C1.7,C
2026-02-11 12:47:00,M1.4,M
2026-02-11 13:34:00,C7.2,C
2026-02-11 17:53:00,C1.8,C
2026-02-11 19:02:00,C2.0,C
